projectID,project_type,extraction_order,date,site_name,filter_replicate,FilterID,vol_filtered_ml,location,location_broad,extraction_date,lat,lon,control,month,year,field_notes,technical_replicate,Cq,target,relative_conc_ng/uL,relative_conc_weighted_by_vol
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,4,3/12/2023,4R,B,20230312 4R B,525,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,4,3/12/2023,4R,B,20230312 4R B,525,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,5,3/12/2023,4R,C,20230312 4R C,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,5,3/12/2023,4R,C,20230312 4R C,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,5,3/12/2023,4R,C,20230312 4R C,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,6,3/12/2023,5R,A,20230312 5R A,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,6,3/12/2023,5R,A,20230312 5R A,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,6,3/12/2023,5R,A,20230312 5R A,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,7,3/12/2023,5R,B,20230312 5R B,100,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,7,3/12/2023,5R,B,20230312 5R B,100,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,7,3/12/2023,5R,B,20230312 5R B,100,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,8,3/12/2023,5R,C,20230312 5R C,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,8,3/12/2023,5R,C,20230312 5R C,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,8,3/12/2023,5R,C,20230312 5R C,150,5R,San Luis Wildlife Refuge,3/14/2023,37.208993,-120.818282,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,9,3/12/2023,2R,A,20230312 2R A,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,9,3/12/2023,2R,A,20230312 2R A,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,9,3/12/2023,2R,A,20230312 2R A,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,10,3/12/2023,2R,B,20230312 2R B,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,10,3/12/2023,2R,B,20230312 2R B,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,10,3/12/2023,2R,B,20230312 2R B,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,11,3/12/2023,2R,C,20230312 2R C,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,11,3/12/2023,2R,C,20230312 2R C,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,11,3/12/2023,2R,C,20230312 2R C,100,2R,San Luis Wildlife Refuge,3/14/2023,37.214194,-120.81201,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,12,3/12/2023,43R,A,20230312 43R A,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,12,3/12/2023,43R,A,20230312 43R A,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,12,3/12/2023,43R,A,20230312 43R A,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,13,3/12/2023,43R,B,20230312 43R B,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,1,34.64446259,LSL/FSL,5.80E-05,4.64E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,13,3/12/2023,43R,B,20230312 43R B,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,2,35.30759811,LSL/FSL,3.65E-05,2.92E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,13,3/12/2023,43R,B,20230312 43R B,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,3,35.9119606,LSL/FSL,2.40E-05,1.92E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,14,3/12/2023,43R,C,20230312 43R C,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,2,34.5627861,LSL/FSL,6.14E-05,4.91E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,14,3/12/2023,43R,C,20230312 43R C,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,3,35.20286179,LSL/FSL,3.93E-05,3.14E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,14,3/12/2023,43R,C,20230312 43R C,125,43R,San Luis Wildlife Refuge,3/14/2023,37.217958,-120.808,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,15,3/12/2023,8R,A,20230312 8R A,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,15,3/12/2023,8R,A,20230312 8R A,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,15,3/12/2023,8R,A,20230312 8R A,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,16,3/12/2023,8R,B,20230312 8R B,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,16,3/12/2023,8R,B,20230312 8R B,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,16,3/12/2023,8R,B,20230312 8R B,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,17,3/12/2023,8R,C,20230312 8R C,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,17,3/12/2023,8R,C,20230312 8R C,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,17,3/12/2023,8R,C,20230312 8R C,125,8R,San Luis Wildlife Refuge,3/14/2023,37.212419,-120.815037,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,18,3/12/2023,18R,A,20230312 18R A,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,18,3/12/2023,18R,A,20230312 18R A,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,18,3/12/2023,18R,A,20230312 18R A,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,19,3/12/2023,18R,B,20230312 18R B,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,1,34.4285202,LSL/FSL,6.74E-05,6.74E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,19,3/12/2023,18R,B,20230312 18R B,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,19,3/12/2023,18R,B,20230312 18R B,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,20,3/12/2023,18R,C,20230312 18R C,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,20,3/12/2023,18R,C,20230312 18R C,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,20,3/12/2023,18R,C,20230312 18R C,100,18R,San Luis Wildlife Refuge,3/14/2023,37.219058,-120.803754,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,21,3/12/2023,62R,A,20230312 62R A,100,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,21,3/12/2023,62R,A,20230312 62R A,100,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,21,3/12/2023,62R,A,20230312 62R A,100,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,22,3/12/2023,62R,B,20230312 62R B,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,22,3/12/2023,62R,B,20230312 62R B,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,22,3/12/2023,62R,B,20230312 62R B,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,23,3/12/2023,62R,C,20230312 62R C,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,23,3/12/2023,62R,C,20230312 62R C,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,23,3/12/2023,62R,C,20230312 62R C,125,62R,San Luis Wildlife Refuge,3/14/2023,37.223591,-120.800911,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,24,3/12/2023,76R,A,20230312 76R A,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,24,3/12/2023,76R,A,20230312 76R A,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,24,3/12/2023,76R,A,20230312 76R A,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,25,3/12/2023,76R,B,20230312 76R B,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,25,3/12/2023,76R,B,20230312 76R B,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,25,3/12/2023,76R,B,20230312 76R B,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,26,3/12/2023,76R,C,20230312 76R C,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,26,3/12/2023,76R,C,20230312 76R C,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,26,3/12/2023,76R,C,20230312 76R C,150,76R,San Luis Wildlife Refuge,3/14/2023,37.240685,-120.821818,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,27,3/12/2023,82R,A,20230312 82R A,125,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,2,34.41335297,LSL/FSL,6.82E-05,5.45E-07
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,27,3/12/2023,82R,A,20230312 82R A,125,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,27,3/12/2023,82R,A,20230312 82R A,125,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,28,3/12/2023,82R,B,20230312 82R B,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,28,3/12/2023,82R,B,20230312 82R B,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,28,3/12/2023,82R,B,20230312 82R B,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,29,3/12/2023,82R,C,20230312 82R C,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,29,3/12/2023,82R,C,20230312 82R C,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,29,3/12/2023,82R,C,20230312 82R C,150,82R,San Luis Wildlife Refuge,3/14/2023,37.260097,-120.831913,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,30,3/12/2023,71R,A,20230312 71R A,100,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,30,3/12/2023,71R,A,20230312 71R A,100,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,30,3/12/2023,71R,A,20230312 71R A,100,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,31,3/12/2023,71R,B,20230312 71R B,150,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,31,3/12/2023,71R,B,20230312 71R B,150,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,31,3/12/2023,71R,B,20230312 71R B,150,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,32,3/12/2023,71R,C,20230312 71R C,125,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,32,3/12/2023,71R,C,20230312 71R C,125,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,32,3/12/2023,71R,C,20230312 71R C,125,71R,San Luis Wildlife Refuge,3/14/2023,37.250315,-120.822715,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,33,3/12/2023,14R,A,20230312 14R A,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,33,3/12/2023,14R,A,20230312 14R A,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,33,3/12/2023,14R,A,20230312 14R A,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,34,3/12/2023,14R,B,20230312 14R B,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,3,37.43835068,LSL/FSL,8.27E-06,5.51E-08
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,34,3/12/2023,14R,B,20230312 14R B,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,34,3/12/2023,14R,B,20230312 14R B,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,35,3/12/2023,14R,C,20230312 14R C,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,35,3/12/2023,14R,C,20230312 14R C,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,35,3/12/2023,14R,C,20230312 14R C,150,14R,San Luis Wildlife Refuge,3/14/2023,37.261729,-120.83367,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,36,3/12/2023,60R,A,20230312 60R A,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,36,3/12/2023,60R,A,20230312 60R A,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,36,3/12/2023,60R,A,20230312 60R A,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,37,3/14/2023,EXCT,2,20230314 EXCT 2,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,1,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,37,3/14/2023,EXCT,2,20230314 EXCT 2,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,2,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,37,3/14/2023,EXCT,2,20230314 EXCT 2,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,3,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,38,3/12/2023,60R,B,20230312 60R B,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,38,3/12/2023,60R,B,20230312 60R B,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,38,3/12/2023,60R,B,20230312 60R B,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,39,3/12/2023,60R,C,20230312 60R C,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,39,3/12/2023,60R,C,20230312 60R C,150,60R,San Luis Wildlife Refuge,3/14/2023,37.249351,-120.823375,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,40,3/12/2023,47R,A,20230312 47R A,150,47R,San Luis Wildlife Refuge,3/14/2023,37.263515,-120.837115,Sample,March,2023,NA,1,40,LSL/FSL,0,0
