projectID,project_type,extraction_order,date,site_name,filter_replicate,FilterID,vol_filtered_ml,location,location_broad,extraction_date,control,month,year,field_notes,technical_replicate,Cq,target,relative_conc_ng/uL,relative_conc_weighted_by_vol
FWSLOD-2022-Loach pilot study,eDNA,73,3/28/2022,L11R,1,20220328L11R1,125,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,2,36.49301529,LSL/FSL,1.26E-05,1.01E-07
FWSLOD-2022-Loach pilot study,eDNA,85,3/28/2022,L16R,1,20220328L16R1,100,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,3,36.54501724,LSL/FSL,1.22E-05,1.22E-07
FWSLOD-2022-Loach pilot study,eDNA,31,3/21/2022,D2R,3,20220321D2R3,1975,D2R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,1,36.62512207,LSL/FSL,1.15E-05,5.83E-09
FWSLOD-2022-Loach pilot study,eDNA,58,3/21/2022,A7R,3,20220321A7R3,75,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,3,36.8092041,LSL/FSL,1.02E-05,1.36E-07
FWSLOD-2022-Loach pilot study,eDNA,85,3/28/2022,L16R,1,20220328L16R1,100,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,1,36.83161163,LSL/FSL,1.00E-05,1.00E-07
FWSLOD-2022-Loach pilot study,eDNA,74,3/28/2022,L11R,2,20220328L11R2,125,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,2,36.84295273,LSL/FSL,9.94E-06,7.95E-08
FWSLOD-2022-Loach pilot study,eDNA,75,3/28/2022,L11R,3,20220328L11R3,150,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,1,36.85638809,LSL/FSL,9.85E-06,6.57E-08
FWSLOD-2022-Loach pilot study,eDNA,58,3/21/2022,A7R,3,20220321A7R3,75,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,2,36.9064064,LSL/FSL,9.53E-06,1.27E-07
FWSLOD-2022-Loach pilot study,eDNA,31,3/21/2022,D2R,3,20220321D2R3,1975,D2R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,2,37.13939285,LSL/FSL,8.14E-06,4.12E-09
FWSLOD-2022-Loach pilot study,eDNA,57,3/21/2022,A7R,2,20220321A7R2,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,2,38.08004379,LSL/FSL,4.31E-06,8.63E-08
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,1,3/6/2022,EXCT,NA,20220306EXCT,NA,Extraction Control,Extraction Control,5/6/2022,Control,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,27,3/14/2022,FLDCT,NA,20220314FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,28,3/15/2022,FLDCT,NA,20220315FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,59,3/21/2022,FLDCT,NA,20220321FLDCT,500,Field Control,Field Control,5/9/2022,Control,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,91,3/28/2022,FLDCT,NA,20220328FLDCT,500,Field Control,Field Control,5/11/2022,Control,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,25,5/9/2022,EXCT,NA,20220509EXCT,NA,Extraction Control,Extraction Control,5/9/2022,Control,May,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,LSL/FSL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,11,3/14/2022,P1R,1,20220314P1R1,100,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,12,3/14/2022,P1R,2,20220314P1R2,225,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,13,3/14/2022,P1R,3,20220314P1R3,200,P1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,8,3/14/2022,P2R,1,20220314P2R1,375,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,9,3/14/2022,P2R,2,20220314P2R2,350,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,10,3/14/2022,P2R,3,20220314P2R3,500,P2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,2,3/14/2022,WP1R,1,20220314WP1R1,90,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,4,3/14/2022,WP1R,3,20220314WP1R3,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,5,3/14/2022,WP2R,1,20220314WP2R1,450,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,6,3/14/2022,WP2R,2,20220314WP2R2,275,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,7,3/14/2022,WP2R,3,20220314WP2R3,325,WP2R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,1,40,PL,0,0
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,2,40,PL,0,0
